Title,groupurl,category,pay_labels
STAND UP ALONE 放課後会編,劇団名しかプロ（四方香菜Produce改め）,https://kan-geki.com/streaming/play/75,"カテゴリードラマ,一人芝居,",有料
STAND UP ALONE 案内者編,劇団名しかプロ（四方香菜Produce改め）,https://kan-geki.com/streaming/play/76,"カテゴリードラマ,一人芝居,",有料
STAND UP ALONE 夢日記編,劇団名しかプロ（四方香菜Produce改め）,https://kan-geki.com/streaming/play/77,"カテゴリードラマ,一人芝居,",有料
STAND UP ALONE 三姉妹編,劇団名しかプロ（四方香菜Produce改め）,https://kan-geki.com/streaming/play/78,"カテゴリードラマ,一人芝居,",有料
オーロラパラダイス,劇団名ミジンコターボ,https://kan-geki.com/streaming/play/79,"カテゴリーファンタジー,",有料
スーパーソニックジェット赤子　大往生,劇団名ミジンコターボ,https://kan-geki.com/streaming/play/80,"カテゴリーコメディ,",有料
ダメダメ・サーカス2010Ver,劇団名ミジンコターボ,https://kan-geki.com/streaming/play/81,"カテゴリーファンタジー,ドラマ,",有料
カレル・チャペックの砦,劇団名ミジンコターボ,https://kan-geki.com/streaming/play/82,"カテゴリーSF,ファンタジー,恋愛,",有料
儂が燃えて死ぬまでの噺 大炎上,劇団名ミジンコターボ,https://kan-geki.com/streaming/play/83,"カテゴリー時代劇（歴史劇）,",有料
はじめてのメリークリスマス,劇団名atelierTHANK-Xs,https://kan-geki.com/streaming/play/84,"カテゴリーファンタジー,",有料
ルールマン,劇団名atelierTHANK-Xs,https://kan-geki.com/streaming/play/85,"カテゴリードラマ,",有料
ハグレモノミライ,劇団名atelierTHANK-Xs,https://kan-geki.com/streaming/play/86,"カテゴリードラマ,",有料
ようこそミスターチェリーブロッサム,劇団名atelierTHANK-Xs,https://kan-geki.com/streaming/play/87,"カテゴリードラマ,",有料
東京ユートリア,劇団名劇団東京ペンギン,https://kan-geki.com/streaming/play/88,"カテゴリーコメディ,",有料
阪急VSプレデター,劇団名劇団東京ペンギン,https://kan-geki.com/streaming/play/89,"カテゴリーコメディ,",有料
天王寺:10王子,劇団名劇団東京ペンギン,https://kan-geki.com/streaming/play/90,"カテゴリーコメディ,",有料
コマコレ‘08,劇団名小松利昌一人芝居,https://kan-geki.com/streaming/play/91,"カテゴリーコメディ,",有料
コマツマツリ2006,劇団名小松利昌一人芝居,https://kan-geki.com/streaming/play/92,"カテゴリーコメディ,",有料
職人気質,劇団名小松利昌一人芝居,https://kan-geki.com/streaming/play/93,"カテゴリーコメディ,",有料
金色剣恋記,劇団名劇団天悟,https://kan-geki.com/streaming/play/94,"カテゴリー時代劇（歴史劇）,",有料
川面の果て うたかたの花,劇団名劇団天悟,https://kan-geki.com/streaming/play/95,"カテゴリー時代劇（歴史劇）,",有料
三つの輪舞,劇団名劇団天悟,https://kan-geki.com/streaming/play/96,"カテゴリー時代劇（歴史劇）,",有料
雨はれて 月おぼろ,劇団名劇団天悟,https://kan-geki.com/streaming/play/97,"カテゴリー時代劇（歴史劇）,",有料
朝霧のうた　きくはきえにし,劇団名劇団天悟,https://kan-geki.com/streaming/play/98,"カテゴリーファンタジー,時代劇（歴史劇）,",有料
梨の礫の梨,劇団名サキトサンズ,https://kan-geki.com/streaming/play/99,"カテゴリードラマ,",有料
うしおととら 第一章「うしお とらと出会うの縁」・第二章「石喰い」,劇団名シアターOM,https://kan-geki.com/streaming/play/100,"カテゴリーファンタジー,マンガ・アニメ,",有料
酒顛童子～胎動～,劇団名シアターOM,https://kan-geki.com/streaming/play/101,"カテゴリーファンタジー,",有料
凛然グッド・バイ（冬眠）,劇団名劇団Uglyduckling,https://kan-geki.com/streaming/play/102,"カテゴリードラマ,",有料
凛然グッド・バイ（春眠）,劇団名劇団Uglyduckling,https://kan-geki.com/streaming/play/103,"カテゴリードラマ,",有料
三日月エレファント,劇団名劇団Uglyduckling,https://kan-geki.com/streaming/play/104,"カテゴリーファンタジー,",有料
照準ZEROin,劇団名劇団Uglyduckling,https://kan-geki.com/streaming/play/105,"カテゴリードラマ,",有料
改訂版さっちゃん,劇団名劇団Uglyduckling,https://kan-geki.com/streaming/play/106,"カテゴリードラマ,恋愛,",有料
スパイクレコード,劇団名劇団Uglyduckling,https://kan-geki.com/streaming/play/107,"カテゴリードラマ,",有料
さポろペ,劇団名劇団Uglyduckling,https://kan-geki.com/streaming/play/108,"カテゴリーミステリー・サスペンス,",有料
眠りの切り札,劇団名劇団Uglyduckling,https://kan-geki.com/streaming/play/109,"カテゴリーミステリー・サスペンス,",有料
くちなしジョッキィ（2009ver）,劇団名劇団Uglyduckling,https://kan-geki.com/streaming/play/110,"カテゴリーミステリー・サスペンス,",有料
くちなしジョッキィ,劇団名劇団Uglyduckling,https://kan-geki.com/streaming/play/111,"カテゴリーミステリー・サスペンス,",有料
-273,劇団名劇団Uglyduckling,https://kan-geki.com/streaming/play/112,"カテゴリードラマ,",有料
100年トランク,劇団名劇団Uglyduckling,https://kan-geki.com/streaming/play/113,"カテゴリーファンタジー,ドラマ,",有料
アドウェントゥーラ,劇団名劇団Uglyduckling,https://kan-geki.com/streaming/play/114,"カテゴリーファンタジー,",有料
フルオーケストラ,劇団名劇団Uglyduckling,https://kan-geki.com/streaming/play/115,"カテゴリーファンタジー,ドラマ,",有料
箱師よ、その街の暁に釘を打て,劇団名劇団Uglyduckling,https://kan-geki.com/streaming/play/116,"カテゴリードラマ,",有料
トキシラズ黎明篇,劇団名劇団Uglyduckling,https://kan-geki.com/streaming/play/117,"カテゴリードラマ,",有料
トキシラズ望郷篇,劇団名劇団Uglyduckling,https://kan-geki.com/streaming/play/118,"カテゴリードラマ,",有料
誰もが手にしたるもの～エンドロール04～：Bロール,劇団名劇団Uglyduckling,https://kan-geki.com/streaming/play/119,"カテゴリードラマ,",有料
誰もが手にしたるもの～エンドロール04～：Aロール,劇団名劇団Uglyduckling,https://kan-geki.com/streaming/play/120,"カテゴリードラマ,",有料
世の中の率,劇団名月曜劇団,https://kan-geki.com/streaming/play/121,"カテゴリーコメディ,",有料
どうでもいい結社,劇団名月曜劇団,https://kan-geki.com/streaming/play/122,"カテゴリーコメディ,",有料
ほとんど人参,劇団名超人予備校,https://kan-geki.com/streaming/play/123,"カテゴリーコメディ,",有料
Kanoatic Blue,劇団名捻暮れロジック,https://kan-geki.com/streaming/play/126,"カテゴリーファンタジー,ドラマ,恋愛,",有料
カデンツァ,劇団名満月動物園,https://kan-geki.com/streaming/play/127,"カテゴリードラマ,",有料
スカイ/フォーカス,劇団名満月動物園,https://kan-geki.com/streaming/play/128,"カテゴリーファンタジー,ドラマ,",有料
ネムリノカケラ,劇団名満月動物園,https://kan-geki.com/streaming/play/129,"カテゴリードラマ,",有料
蝕卓賛歌,劇団名満月動物園,https://kan-geki.com/streaming/play/130,"カテゴリードラマ,",有料
"Sherry,Go home-フランケンシュタインと赤い靴-",劇団名浮遊許可証,https://kan-geki.com/streaming/play/132,"カテゴリーSF,恋愛,",有料
進化戯曲,劇団名私見感,https://kan-geki.com/streaming/play/134,"カテゴリードラマ,",有料
まいる,劇団名STANDFLOWER,https://kan-geki.com/streaming/play/135,"カテゴリードラマ,",有料
渇いて候,劇団名シアターOM,https://kan-geki.com/streaming/play/136,"カテゴリー時代劇（歴史劇）,",有料
ツキカゲノモリ,劇団名満月動物園,https://kan-geki.com/streaming/play/137,"カテゴリーファンタジー,",有料
部屋、あり〼,劇団名fabricantfin,https://kan-geki.com/streaming/play/138,"カテゴリードラマ,",有料
Jerk!!嘘の限界（演劇編）,劇団名匿名劇壇,https://kan-geki.com/streaming/play/139,"カテゴリードラマ,",有料
Jerk!!希望の殴打（バイト編）,劇団名匿名劇壇,https://kan-geki.com/streaming/play/140,"カテゴリードラマ,",有料
Jerk!!自白剤を飲み過ぎて（恋愛編）,劇団名匿名劇壇,https://kan-geki.com/streaming/play/141,"カテゴリードラマ,",有料
＆1night,劇団名お座敷コブラ,https://kan-geki.com/streaming/play/153,"カテゴリーファンタジー,",有料
２８～Twenty Eight,劇団名お座敷コブラ,https://kan-geki.com/streaming/play/154,"カテゴリーファンタジー,",有料
A!MAZE,劇団名お座敷コブラ,https://kan-geki.com/streaming/play/155,"カテゴリーファンタジー,",有料
ハコモノ,劇団名お座敷コブラ,https://kan-geki.com/streaming/play/156,"カテゴリーファンタジー,",有料
プラマドンナ,劇団名お座敷コブラ,https://kan-geki.com/streaming/play/157,"カテゴリーファンタジー,",有料
伍～five～,劇団名お座敷コブラ,https://kan-geki.com/streaming/play/158,"カテゴリーファンタジー,",有料
偽善者,劇団名シアターOM,https://kan-geki.com/streaming/play/159,"カテゴリードラマ,",有料
シニガミと蝋燭,劇団名ミジンコターボ,https://kan-geki.com/streaming/play/162,"カテゴリーファンタジー,ドラマ,ダンス・舞踏・パフォーマンス,",有料
fallibility,劇団名baghdadcafe’,https://kan-geki.com/streaming/play/163,"カテゴリーダンス・舞踏・パフォーマンス,",有料
モノロ・テクノ,劇団名baghdadcafe’,https://kan-geki.com/streaming/play/164,"カテゴリーダンス・舞踏・パフォーマンス,",有料
talk about her life (15:00公演),劇団名baghdadcafe’,https://kan-geki.com/streaming/play/165,"カテゴリーダンス・舞踏・パフォーマンス,",有料
talk about her life (19:00公演),劇団名baghdadcafe’,https://kan-geki.com/streaming/play/166,"カテゴリーダンス・舞踏・パフォーマンス,",有料
生活のリズム,劇団名baghdadcafe’,https://kan-geki.com/streaming/play/167,"カテゴリーダンス・舞踏・パフォーマンス,",有料
オゾケ・ストロベリィ・ドォルズ,劇団名劇的☆ジャンク堂,https://kan-geki.com/streaming/play/168,"カテゴリーファンタジー,ドラマ,",有料
イーッ!!,劇団名劇的☆ジャンク堂,https://kan-geki.com/streaming/play/169,"カテゴリーファンタジー,ドラマ,",有料
スプーン・マーメイド,劇団名満月動物園,https://kan-geki.com/streaming/play/172,"カテゴリードラマ,",有料
逃げる五右衛門,劇団名斬撃☆ニトロ,https://kan-geki.com/streaming/play/175,"カテゴリーファンタジー,アクション,恋愛,",有料
くまと羊,劇団名U.M.IFilmMakers,https://kan-geki.com/streaming/play/176,"カテゴリードラマ,コメディ,",有料
よぶ,劇団名STANDFLOWER,https://kan-geki.com/streaming/play/177,"カテゴリードラマ,",有料
サイボーグ侍,劇団名伊藤えん魔プロデュース,https://kan-geki.com/streaming/play/180,"カテゴリーSF,ドラマ,時代劇（歴史劇）,",有料
サイボーグ侍,劇団名ファントマ,https://kan-geki.com/streaming/play/181,"カテゴリーSF,ドラマ,時代劇（歴史劇）,",有料
ローザ,劇団名時間堂,https://kan-geki.com/streaming/play/182,"カテゴリードラマ,",有料
光速可変の定理,劇団名劇想からまわりえっちゃん,https://kan-geki.com/streaming/play/183,"カテゴリードラマ,ダンス・舞踏・パフォーマンス,",有料
森の別の場所,劇団名時間堂,https://kan-geki.com/streaming/play/184,"カテゴリードラマ,",有料
マスケラ,劇団名ブラック★タイツ,https://kan-geki.com/streaming/play/185,"カテゴリーファンタジー,恋愛,ミュージカル,",有料
今宵、宇宙エレベーターの厨房で,劇団名隕石少年トースター,https://kan-geki.com/streaming/play/186,"カテゴリーSF,",有料
コーヒー牛乳の止まらない休日,劇団名隕石少年トースター,https://kan-geki.com/streaming/play/187,"カテゴリードラマ,コメディ,",有料
パペット・オン・ザ・パニック 完全版,劇団名隕石少年トースター,https://kan-geki.com/streaming/play/188,"カテゴリードラマ,コメディ,",有料
しき,劇団名fabricantfin,https://kan-geki.com/streaming/play/189,"カテゴリードラマ,",有料
桜×心中,劇団名ブラック★タイツ,https://kan-geki.com/streaming/play/190,"カテゴリーファンタジー,ミュージカル,",有料
Reverse Play Ground,劇団名お座敷コブラ,https://kan-geki.com/streaming/play/191,"カテゴリーアクション,ドラマ,恋愛,",有料
1・2・3ショットマンレイ 3秒間の覚悟編,劇団名劇想からまわりえっちゃん,https://kan-geki.com/streaming/play/193,"カテゴリーアクション,時代劇（歴史劇）,ダンス・舞踏・パフォーマンス,",有料
1・2・3ショットマンレイ 変わる真編,劇団名劇想からまわりえっちゃん,https://kan-geki.com/streaming/play/194,"カテゴリーアクション,ドラマ,ダンス・舞踏・パフォーマンス,",有料
赤い夕陽のでんでけ伝,劇団名劇想からまわりえっちゃん,https://kan-geki.com/streaming/play/195,"カテゴリードラマ,ダンス・舞踏・パフォーマンス,",有料
犬殺しターくんと非実在チーちゃん,劇団名オレンヂスタ,https://kan-geki.com/streaming/play/196,"カテゴリーアクション,ダンス・舞踏・パフォーマンス,",有料
僕らをみて,劇団名劇想からまわりえっちゃん,https://kan-geki.com/streaming/play/197,"カテゴリードラマ,",有料
ROMANCEPOOL,劇団名FUKAIPRODUCE羽衣,https://kan-geki.com/streaming/play/199,"カテゴリー恋愛,ミュージカル,アート,",有料
あのひとたちのリサイタル,劇団名FUKAIPRODUCE羽衣,https://kan-geki.com/streaming/play/200,"カテゴリー恋愛,ミュージカル,アート,",有料
朝霞と夕霞と夜のおやすみ,劇団名FUKAIPRODUCE羽衣,https://kan-geki.com/streaming/play/201,"カテゴリー恋愛,ミュージカル,アート,",有料
宿題と遠吠え,劇団名FUKAIPRODUCE羽衣,https://kan-geki.com/streaming/play/202,"カテゴリーミュージカル,アート,不条理・アングラ,",有料
冥土ダイバー,劇団名牛乳地獄,https://kan-geki.com/streaming/play/203,"カテゴリーSF,ドラマ,恋愛,",有料
ごんべい～大阪の陣～,劇団名ゲキバカ,https://kan-geki.com/streaming/play/204,"カテゴリーアクション,時代劇（歴史劇）,恋愛,",有料
突撃！八百八町！！～人斬りピエロ軍団vsタケミツナリタ～,劇団名劇団壱劇屋,https://kan-geki.com/streaming/play/205,"カテゴリーアクション,ミステリー・サスペンス,時代劇（歴史劇）,",有料
６人の悩める観客,劇団名劇団壱劇屋,https://kan-geki.com/streaming/play/206,"カテゴリーミステリー・サスペンス,コメディ,ダンス・舞踏・パフォーマンス,",有料
行進曲「食卓」,劇団名こまち日和,https://kan-geki.com/streaming/play/208,"カテゴリードラマ,",有料
ＳＦ,劇団名月曜劇団,https://kan-geki.com/streaming/play/209,"カテゴリードラマ,コメディ,",有料
すぺどら,劇団名超人予備校,https://kan-geki.com/streaming/play/210,"カテゴリーファンタジー,コメディ,ダンス・舞踏・パフォーマンス,",有料
リーンカーネーション・ティーパーティー,劇団名浮遊許可証,https://kan-geki.com/streaming/play/212,"カテゴリーファンタジー,ドラマ,恋愛,",有料
並行戯曲,劇団名私見感,https://kan-geki.com/streaming/play/213,"カテゴリーアート,その他,",有料
夕顔のはなしろきゆふぐれ,劇団名維新派,https://kan-geki.com/streaming/play/218,"カテゴリーアート,ダンス・舞踏・パフォーマンス,不条理・アングラ,",有料
MAREBITO,劇団名維新派,https://kan-geki.com/streaming/play/219,"カテゴリーアート,ダンス・舞踏・パフォーマンス,不条理・アングラ,",有料
超能力やくざ,劇団名伊藤えん魔プロデュース,https://kan-geki.com/streaming/play/220,"カテゴリーSF,アクション,コメディ,",有料
「この指とまれ」を聞きながら,劇団名劇団銀河,https://kan-geki.com/streaming/play/221,"カテゴリードラマ,恋愛,",有料
いつも隣で,劇団名劇団銀河,https://kan-geki.com/streaming/play/223,"カテゴリードラマ,",有料
やわらかいヒビ,劇団名カムヰヤッセン,https://kan-geki.com/streaming/play/224,"カテゴリーSF,ドラマ,",有料
バックギャモン・プレイヤード,劇団名カムヰヤッセン,https://kan-geki.com/streaming/play/225,"カテゴリーファンタジー,ドラマ,",有料
新説・とりかへばや物語,劇団名カムヰヤッセン,https://kan-geki.com/streaming/play/226,"カテゴリードラマ,時代劇（歴史劇）,",有料
HI↗GH SCHOOL　関ヶ原,劇団名劇団みゅーじかる321♪,https://kan-geki.com/streaming/play/227,"カテゴリーコメディ,ミュージカル,",有料
ポジティブな悪魔たち,劇団名ＳＫＹ　ＳＯＡＲＴψＷＩＮＧＳ,https://kan-geki.com/streaming/play/228,"カテゴリーコメディ,恋愛,",有料
ドン・カルロス,劇団名ＳＫＹ　ＳＯＡＲＴψＷＩＮＧＳ,https://kan-geki.com/streaming/play/229,"カテゴリー時代劇（歴史劇）,恋愛,",有料
ＬＬＬ～恋の骨折り損～,劇団名ＳＫＹ　ＳＯＡＲＴψＷＩＮＧＳ,https://kan-geki.com/streaming/play/230,"カテゴリーコメディ,恋愛,",有料
BIER,劇団名モンゴルズシアターカンパニー,https://kan-geki.com/streaming/play/231,"カテゴリーファンタジー,ドラマ,",有料
BEST of G×V×B,劇団名劇団ヴィジュアル系バンド,https://kan-geki.com/streaming/play/232,"カテゴリーファンタジー,コメディ,ダンス・舞踏・パフォーマンス,",有料
