Title,Author,Playtime,Male Count,Female Count
お熱い夜はいかが？,大谷美智浩,60～90分,5,5
赤いアンブレラ,すぎうらとしはる,60～90分,4,1
ガムガムファイター,池田美樹,90～120分,2,3
気持ちいい穴の話,池田美樹,90～120分,2,3
生態系カズクン,泊篤志,90～120分,7,4
焔～ほむら～,中村ノブアキ,90～120分,7,3
ざくろのような,中村ノブアキ,90～120分,6,3
放課後のおと,佐藤剛史,60～90分,0,7
浜辺の猿,佐藤剛史,90～120分,2,6
チョコチップクッキー,宇吹萌,60～90分,9,11
シャワー,矢内文章,90～120分,5,5
「卒アル」,品川浩幸,90～120分,9,13
ロンギヌスの槍,吉水恭子,90～120分,6,5
消失点,吉水恭子,90～120分,6,2
『コンデンス』,天野天街,60～90分,6,12
仏壇のない家,くらもちひろゆき,90～120分,6,6
灰かぶりのエラ,ガラ林,60～90分,2,3
月の海,岩瀬晶子,90～120分,6,3
明日花ーあしたばなー,岩瀬晶子,90～120分,7,3
花の塔婆,くらもちひろゆき,90～120分,3,4
笑顔。（すまいる）～さざんかの咲くころに～,森下知香,90～120分,7,8
フローレンスの庭,高橋恵,2時間～3時間,6,99
新宿ムーラン・ルージュー赤い風車の回る劇場（こや）－,岡部耕大,90～120分,7,5
ダライコ挽歌,高橋恵,60～90分,7,3
ガラ版　ハーメルンの笛吹き,ガラ林,60～90分,0,13
太平洋ベルトライン,岡安伸治,60～90分,5,2
まやかし　男版　改,さいけ,60～90分,5,8
コッペリニャ,さいけ,60～90分,7,99
わたしのゆめ,大橋秀和,60～90分,3,7
落ちこぼれアイドルだった私が社長になって １年で会社を立て直した１０の方法,大橋秀和,60～90分,7,4
そのころ,大迫旭洋,20～40分,1,0
うお傳説,山崎哲,2時間～3時間,3,4
いつか、ひとやすみ。,遠藤雷太,60～90分,5,4
京都で、恋とフォーク,村上慎太郎,90～120分,3,6
人生のおまけ～Collateral Beauty～,森下知香,90～120分,5,7
めんどくさい人,ハセガワアユム,60～90分,4,3
季・寄せ来　～き・よせく～,玉井江吏香,40～60分,3,3
MY SWEET BOOTLEG,ハセガワアユム,60～90分,2,3
アトリエー199X/202X,村野玲子,40～60分,1,2
ツイノスミカ　～夜更けの星～,玉井江吏香,20～40分,0,2
ハイアガール,村上慎太郎,90～120分,4,5
短パン★カーニバル,遠藤雄史,90～120分,4,5
Post Script,遠藤雄史,90～120分,4,9
箱猫はいつも夢を見た,山口香織,20～40分,3,2
カメレオンノート,山口香織,20～40分,1,1
帰りたいうちに,棚瀬美幸,60～90分,2,5
砂の時間,島田三樹彦,60～90分,0,3
テレスコープ～無宿篇～,古川登志夫,90～120分,15,10
東京海亀伝説～幻の少女篇～,古川登志夫,60～90分,5,7
朝日のような夕日をつれて 2014,鴻上尚史,90～120分,5,0
天使は瞳を閉じて,鴻上尚史,90～120分,6,5
ひらたい地面,山田めい,40～60分,8,2
犬の夜,山田めい,40～60分,2,4
ハッピー ウエディング☆彡,Toshihide Okada,20～40分,0,1
サンタクロースへの贈り物,Toshihide Okada,20～40分,4,0
Memento〜忘却の夏,井戸乃くらぽー,40～60分,2,4
イキザマ３,松本匠,90～120分,15,1
ロウバジェット,福田卓郎,90～120分,8,7
ゼブラ,田村孝裕,90～120分,6,6
国語の時間　1940-1945京城,小里清,2時間～3時間,7,3
花と爆弾　～愛と革命の伝説～,大森匂子,60～90分,3,3
春の鯨,森馨由,90～120分,4,7
白波の食卓,森馨由,90～120分,4,7
ゼロ番区,松本匠,90～120分,7,0
深夜特急　めざめれば別の国,渡辺えり,90～120分,11,8
『武田信玄～白雲流れゆく彼方に～』,美咲蘭,90～120分,15,99
